sex,is_employed,income,health_ins,num_vehicles,age,state_of_res,gas_usage,rooms,marital_status_Divorced/Separated,marital_status_Married,marital_status_Never married,marital_status_Widowed,housing_type_Homeowner free and clear,housing_type_Homeowner with mortgage/loan,housing_type_Occupied with no rent,housing_type_Rented
1,1,-0.34,1,0.0,0.04,0.0,2.71,0.4,0,0,1,0,1,0,0,0
0,0,-0.32,1,0.0,0.78,0.0,-0.6,1.0,1,0,0,0,0,0,0,1
0,1,-0.36,1,0.33,0.13,0.0,-0.01,0.4,0,0,1,0,0,1,0,0
0,0,-0.07,1,0.17,0.92,0.0,1.27,0.2,0,0,0,1,1,0,0,0
1,1,-0.05,1,0.33,0.59,0.0,-0.6,0.2,1,0,0,0,0,0,0,1
1,0,-0.53,1,0.33,0.71,0.0,2.55,1.0,0,1,0,0,1,0,0,0
0,1,-0.28,0,0.33,0.06,0.0,-0.6,0.4,0,1,0,0,0,0,0,1
0,0,-0.13,1,0.33,0.67,0.0,0.15,0.8,0,1,0,0,1,0,0,0
0,1,-0.29,1,0.83,0.08,0.0,-0.6,0.6,0,0,1,0,1,0,0,0
1,1,-0.18,1,0.5,0.42,0.0,-0.33,1.0,0,1,0,0,0,1,0,0
0,0,-0.72,1,0.33,0.51,0.0,-0.6,1.0,0,1,0,0,0,0,1,0
1,1,-0.03,1,0.33,0.55,0.0,-0.6,0.0,0,1,0,0,0,0,1,0
1,0,-0.04,1,0.17,0.44,0.0,0.95,0.4,0,0,0,1,1,0,0,0
0,0,-0.67,1,0.17,0.67,0.0,0.95,0.8,0,1,0,0,1,0,0,0
0,0,-0.06,1,0.33,0.56,0.0,0.47,0.4,0,1,0,0,0,1,0,0
0,1,-0.37,0,0.17,0.08,0.0,-0.6,0.4,0,0,1,0,1,0,0,0
1,0,-0.57,1,0.17,0.15,0.0,-0.6,0.0,0,1,0,0,0,0,0,1
1,1,-0.1,1,0.33,0.33,0.0,-0.6,0.6,0,1,0,0,1,0,0,0
0,0,-0.34,1,0.33,0.6,0.0,-0.01,0.0,0,0,0,1,1,0,0,0
1,1,-0.38,1,0.5,0.04,0.0,-0.6,0.0,0,0,1,0,0,0,0,1
0,1,-0.29,1,0.33,0.42,0.0,-0.33,0.8,1,0,0,0,0,0,1,0
1,0,-0.55,1,0.33,0.32,0.0,0.95,0.4,0,0,1,0,1,0,0,0
1,1,1.34,1,0.67,0.47,0.0,-0.6,0.2,0,1,0,0,0,1,0,0
0,0,-0.72,1,0.33,0.33,0.0,0.95,0.2,0,1,0,0,0,0,0,1
1,0,-0.72,1,0.17,0.28,0.0,-0.6,0.0,0,0,1,0,0,0,1,0
1,1,-0.2,1,0.5,0.26,0.0,-0.6,1.0,0,1,0,0,0,1,0,0
0,0,-0.39,1,0.17,0.53,0.0,2.71,0.4,0,1,0,0,1,0,0,0
0,1,-0.62,1,0.17,0.51,0.0,-0.6,0.6,0,1,0,0,0,0,0,1
1,1,-0.03,1,0.33,0.51,0.0,-0.49,1.0,0,0,0,1,0,1,0,0
1,0,-0.63,1,0.67,0.0,0.0,-0.49,0.0,0,0,1,0,0,0,0,1
0,1,-0.32,1,0.83,0.28,0.0,0.63,0.4,0,1,0,0,1,0,0,0
0,1,-0.63,1,0.33,0.0,0.0,-0.6,0.8,0,0,1,0,0,0,0,1
1,0,-0.42,1,0.0,0.73,0.0,0.15,0.6,0,0,0,1,0,0,0,1
1,0,-0.72,0,0.0,0.14,0.0,0.15,0.2,0,0,1,0,0,0,0,1
1,1,1.68,1,0.5,0.44,0.0,-0.49,0.8,0,1,0,0,0,1,0,0
0,0,-0.65,1,0.5,0.49,0.0,-0.62,0.0,0,1,0,0,0,1,0,0
