custid,sex,is_employed,income,num_vehicles,age,state_of_res,gas_usage,rooms,marital_status_Divorced/Separated,marital_status_Married,marital_status_Never married,marital_status_Widowed,housing_type_Homeowner free and clear,housing_type_Homeowner with mortgage/loan,housing_type_Occupied with no rent,housing_type_Rented
001115999_01,1,0,-0.06,0.17,0.78,0.0625,-0.27,1.0,0,1,0,0,1,0,0,0
000566299_01,1,1,0.22,0.17,0.24,0.625,0.11,0.8,0,0,1,0,0,0,0,1
001397329_01,0,1,4.33,0.5,0.42,0.10416666666666666,0.87,0.2,0,1,0,0,0,1,0,0
000843100_01,0,0,-0.79,0.17,0.55,0.08333333333333333,-0.08,0.2,0,1,0,0,1,0,0,0
000260071_03,1,1,0.22,0.67,0.18,0.6041666666666666,2.2,0.0,0,1,0,0,0,1,0,0
000254582_02,1,1,2.24,0.33,0.13,0.08333333333333333,-0.61,0.2,0,1,0,0,0,1,0,0
000916197_03,0,0,-0.79,0.33,0.06,0.3333333333333333,0.49,0.2,1,0,0,0,0,1,0,0
000295424_04,0,1,-0.53,0.33,0.51,0.125,-0.6,0.4,0,1,0,0,0,1,0,0
001284781_02,0,0,-0.57,0.67,0.64,0.6666666666666666,-0.46,0.8,0,1,0,0,1,0,0,0
001021897_02,1,1,0.47,0.33,0.13,0.35416666666666663,-0.6,1.0,0,0,1,0,0,0,0,1
000492942_01,1,1,2.2,0.33,0.54,0.875,0.68,1.0,0,1,0,0,1,0,0,0
000397344_03,0,1,0.17,0.5,0.06,0.1875,-0.6,0.0,0,0,1,0,1,0,0,0
000734672_01,0,0,0.13,0.17,0.73,0.47916666666666663,0.3,1.0,0,0,0,1,1,0,0,0
001391631_02,0,1,0.47,0.33,0.17,0.8333333333333333,-0.46,0.6,0,1,0,0,0,1,0,0
000671652_02,0,1,0.57,0.5,0.13,0.8541666666666666,-0.6,0.8,0,1,0,0,0,1,0,0
000331874_04,1,1,0.62,0.67,0.59,0.6458333333333333,-0.6,0.8,0,1,0,0,0,1,0,0
000782616_03,1,0,-0.58,0.33,0.33,0.41666666666666663,3.54,0.2,0,0,1,0,1,0,0,0
000202989_02,0,0,-0.79,0.33,0.19,0.10416666666666666,-0.61,0.8,0,1,0,0,0,0,0,1
000120703_01,0,1,1.1,0.17,0.09,0.25,-0.6,0.2,0,0,1,0,0,0,0,1
000592400_01,0,0,-0.07,0.33,0.64,0.8541666666666666,0.3,0.4,0,0,0,1,0,1,0,0
000024190_01,1,1,1.1,0.17,0.4,0.08333333333333333,-0.08,0.0,1,0,0,0,0,0,0,1
001204446_02,0,0,-0.49,0.33,0.64,0.3333333333333333,0.11,0.0,0,1,0,0,1,0,0,0
000175580_01,0,0,-0.38,0.17,0.77,0.6458333333333333,-0.63,0.6,0,0,0,1,1,0,0,0
000870279_02,0,0,-0.36,0.17,0.46,0.14583333333333331,-0.61,0.0,0,1,0,0,0,0,0,1
000313508_02,0,1,0.42,0.33,0.14,0.4375,1.25,0.6,0,1,0,0,0,1,0,0
001148489_03,0,0,-0.53,0.33,0.28,0.2708333333333333,0.68,0.6,0,1,0,0,0,0,0,1
000885890_01,1,0,-0.45,0.33,0.69,0.4375,-0.6,0.8,0,1,0,0,0,1,0,0
000195750_02,0,0,-0.76,0.17,0.41,0.6458333333333333,1.63,0.0,0,0,1,0,1,0,0,0
001145954_01,1,1,0.1,0.17,0.21,0.9375,-0.6,0.8,0,1,0,0,0,0,0,1
000295924_03,0,1,0.83,0.17,0.19,0.3958333333333333,-0.6,0.8,1,0,0,0,0,1,0,0
001264173_01,1,1,0.47,0.67,0.44,0.08333333333333333,-0.61,0.4,0,1,0,0,1,0,0,0
000269175_01,0,1,0.56,0.17,0.22,0.6666666666666666,-0.27,1.0,1,0,0,0,0,1,0,0
000913388_02,0,1,0.3,0.33,0.26,0.7708333333333333,0.3,0.4,0,1,0,0,0,1,0,0
001363997_01,1,1,0.08,0.17,0.73,0.8541666666666666,-0.6,0.0,0,1,0,0,0,1,0,0
001093854_02,0,0,-0.47,0.0,0.37,0.9583333333333333,0.68,0.6,1,0,0,0,0,0,0,1
001001459_01,0,1,-0.3,0.17,0.06,0.22916666666666666,-0.08,0.8,0,1,0,0,0,1,0,0
000328643_02,1,0,-0.79,0.0,0.03,0.08333333333333333,-0.46,0.0,0,0,1,0,0,0,0,1
000000120_01,0,0,-0.38,0.33,0.77,0.6666666666666666,-0.6,0.0,1,0,0,0,0,0,0,1
000422194_02,0,1,1.35,0.5,0.32,0.08333333333333333,-0.08,1.0,0,1,0,0,1,0,0,0
000861400_01,0,1,0.01,0.67,0.63,0.08333333333333333,3.16,0.2,0,1,0,0,0,1,0,0
000425113_02,1,1,0.35,0.0,0.26,0.08333333333333333,-0.27,0.0,0,0,1,0,0,0,0,1
001139831_02,0,1,-0.51,0.33,0.14,0.4375,-0.63,0.2,0,1,0,0,0,1,0,0
001098177_02,1,1,0.35,0.33,0.19,0.7708333333333333,1.25,0.2,0,1,0,0,0,1,0,0
001454116_01,1,1,0.25,0.0,0.31,0.25,-0.6,0.6,0,0,1,0,0,0,0,1
001065739_02,0,0,-0.48,0.17,0.68,0.375,1.25,0.4,0,1,0,0,0,1,0,0
000862301_02,0,1,0.07,0.33,0.15,0.9791666666666666,-0.61,0.0,0,1,0,0,0,1,0,0
